run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
1,bench.fur.base,354,2.90,121.7,0.683,0.571,1.008,2.112,1.676,1.612,2.144,3.907,2.714,6.629,0.0,0.743,8.33,2.00,480,640,1.229,1311.85,"parity anchor (byte-copy of production)"
1,bench.fur.steps32,348,2.84,122.1,0.786,0.660,1.129,2.968,1.900,1.812,2.320,4.817,3.078,7.575,0.3,0.722,8.33,2.00,480,640,1.229,1474.61,"RAY_STEPS 64->32, RAY_STEP x2 (span kept)"
1,bench.fur.steps16,346,2.84,121.6,0.867,0.681,1.248,3.586,1.970,1.819,2.448,5.355,3.182,12.106,0.9,0.706,8.33,2.00,480,640,1.229,1480.31,"RAY_STEPS 64->16, RAY_STEP x4 (span kept)"
1,bench.fur.noedgelean,345,2.88,119.4,0.820,0.727,1.110,3.282,7.608,7.488,9.076,12.095,10.021,20.937,20.6,-0.089,8.33,2.00,480,640,1.229,6093.75,"4 mask-gradient taps/step dropped"
1,bench.fur.gradstub,357,2.93,121.4,0.725,0.599,1.027,2.846,1.741,1.695,2.099,4.397,2.875,7.372,0.0,0.748,8.33,2.00,480,640,1.229,1379.39,"fastGradient -> constant normal"
1,bench.fur.lightstub,345,2.83,121.6,0.748,0.598,1.073,3.719,1.717,1.699,2.119,4.041,2.850,7.366,0.3,0.746,8.33,2.00,480,640,1.229,1382.65,"4-light shading -> ambient only"
1,bench.fur.noise_const,341,2.83,120.0,0.745,0.610,1.025,4.139,2.028,1.771,2.458,5.531,2.964,8.190,0.6,0.705,8.33,2.00,480,640,1.229,1441.24,"proceduralNoise()->0.5"
1,bench.iliq.base,356,2.91,122.0,0.726,0.560,1.056,3.527,1.081,0.935,1.528,3.672,1.938,9.136,0.3,0.817,8.33,2.00,480,640,1.229,760.90,"parity anchor (byte-copy of production)"
1,bench.iliq.warp1,347,2.80,123.4,0.703,0.564,0.920,3.759,1.088,0.916,1.340,5.720,1.877,8.847,0.6,0.839,8.33,2.00,480,640,1.229,745.44,"1 warpMap instead of 3"
1,bench.iliq.fbm2oct,353,2.92,120.5,0.779,0.628,1.132,3.769,1.072,0.957,1.373,4.366,2.057,9.755,0.0,0.835,8.33,2.00,480,640,1.229,778.81,"fbm 4->2 octaves"
1,bench.iliq.noise_const,346,2.81,122.7,0.696,0.574,1.014,2.049,1.072,0.931,1.318,3.436,1.895,8.424,0.3,0.842,8.33,2.00,480,640,1.229,757.65,"fbm()->0: total noise floor"
